Tipo de Liquidación,Fecha de Concertación,Tipo de Cuota,Número,Cuotapartes,Valor Cuota,Inversión Neta
Rescate,2/12/2024,A,622357,"-1,441,123.43470",15.9597710,"-$ 23,000,000.000"
Rescate,3/12/2024,B,622538,"-31,318,203.91930",16.4121800,"-$ 514,000,000.000"
Rescate,4/12/2024,A,625311,"-4,815,964.18320",15.9884910,"-$ 77,000,000.000"
Rescate,5/12/2024,A,627000,"-122,350,247.01570",16.0032370,"-$ 1,958,000,000.000"
Rescate,6/12/2024,B,628402,"-3,402,650.17840",16.4577600,"-$ 56,000,000.000"
Rescate,9/12/2024,A,631018,"-31,136,303.84050",16.0584250,"-$ 500,000,000.000"
Rescate,9/12/2024,A,629811,"-26,465,858.26440",16.0584250,"-$ 425,000,000.000"
Suscripción,10/12/2024,B,417117,"1,089,973.3653",16.5141650,"$ 18,000,000.00"
Suscripción,11/12/2024,B,417475,"46,828,528.8110",16.5283860,"$ 774,000,000.00"
Suscripción,12/12/2024,B,418326,"39,292,208.2946",16.5427200,"$ 650,000,000.00"
Suscripción,13/12/2024,B,418724,"2,113,914.8870",16.5569580,"$ 35,000,000.00"
Rescate,16/12/2024,A,639075,"-2,909,541.48850",16.1537480,"-$ 47,000,000.000"
Suscripción,17/12/2024,B,420729,"3,069,779.7042",16.6135700,"$ 51,000,000.00"
Suscripción,18/12/2024,B,421526,"9,863,111.4400",16.6276130,"$ 164,000,000.00"
Rescate,19/12/2024,B,641890,"-71,207,056.96190",16.6416090,"-$ 1,185,000,000.000"
Suscripción,20/12/2024,B,424881,"99,426,496.4408",16.6555200,"$ 1,656,000,000.00"
Rescate,23/12/2024,B,644312,"-19,464,176.96090",16.6973410,"-$ 325,000,000.000"
Suscripción,26/12/2024,B,427185,"93,969,926.5171",16.7393980,"$ 1,573,000,000.00"
Suscripción,27/12/2024,B,428178,"133,823,094.8220",16.7534610,"$ 2,242,000,000.00"
Rescate,30/12/2024,B,648441,"-113,661,180.84260",16.7955320,"-$ 1,909,000,000.000"
Rescate,2/1/2025,B,650987,"-53,446,732.25490",16.8391960,"-$ 900,000,000.000"
Rescate,2/1/2025,B,652112,"-38,837,958.77190",16.8391960,"-$ 654,000,000.000"
Rescate,3/1/2025,B,654397,"-51,324,038.55980",16.8537010,"-$ 865,000,000.000"
Rescate,6/1/2025,B,655729,"-60,310,896.45670",16.8957860,"-$ 1,019,000,000.000"
Rescate,8/1/2025,B,658893,"-51,408,085.18000",16.9234080,"-$ 870,000,000.000"
Rescate,9/1/2025,B,660566,"-9,387,674.46760",16.9371020,"-$ 159,000,000.000"
Suscripción,10/1/2025,B,436481,"30,794,948.5901",16.9508320,"$ 522,000,000.00"
Suscripción,13/1/2025,B,437165,"73,268,924.5540",16.9921970,"$ 1,245,000,000.00"
Suscripción,13/1/2025,B,437166,"73,268,924.5540",16.9921970,"$ 1,245,000,000.00"
Suscripción,13/1/2025,B,437168,"73,268,924.5540",16.9921970,"$ 1,245,000,000.00"
Rescate,13/1/2025,B,662985,"-73,268,924.55400",16.9921970,"-$ 1,245,000,000.000"
Rescate,13/1/2025,B,662986,"-73,268,924.55400",16.9921970,"-$ 1,245,000,000.000"
Rescate,14/1/2025,B,664494,"-7,291,488.85090",17.0061290,"-$ 124,000,000.000"
Suscripción,15/1/2025,B,438101,"90,890,669.2180",17.0204490,"$ 1,547,000,000.00"
Rescate,16/1/2025,B,667076,"-35,222,830.78140",17.0344060,"-$ 600,000,000.000"
Rescate,16/1/2025,B,667087,"-50,603,466.88930",17.0344060,"-$ 862,000,000.000"
